name,descriptor,family,lifeform,growthform,l,t,k,f,r,n,sociology,rlg,rlb,neo
Prunella_vulgaris,L.,Lamiaceae,N,perennial,7,na,3,5,7,na,5400,*,na,0
Ranunculus_acris,L.,Ranunculaceae,N,perennial,7,na,3,6,na,na,5400,*,na,0
Ranunculus_repens,L.,Ranunculaceae,N,perennial,6,na,na,7,na,na,na,*,na,0
Reseda_lutea,L.,Resedaceae,N,annual_biennial,7,6,3,3,8,5,3540,*,na,0
Rhinanthus_glacialis,Personnat,Scrophulariaceae,T,na,7,5,3,6,7,2,na,3,3,0
Rorippa_palustris,(L.) Besser,Brassicaceae,T,na,7,na,na,8,na,8,na,*,na,0
Rubus_caesius,L.,Rosaceae,N,wood,6,5,4,na,8,7,na,*,na,0
Rumex_obtusifolius,L.,Polygonaceae,N,perennial,7,5,3,6,na,9,3811,*,na,0
Rumex_palustris,Sm.,Polygonaceae,T,annual_biennial,8,7,3,9,9,8,3211,*,3,0
Sagina_nodosa,(L.) Fenzl,Caryophyllaceae,N,perennial,8,6,3,8,8,5,3811,2,na,0
Sagina_procumbens,L.,Caryophyllaceae,N,perennial,7,na,3,5,7,6,3711,*,na,0
Salix_alba,L.,Salicaceae,P,wood,5,6,6,8,8,7,8112,*,na,0
Salix_alba_x_purpurea,na,Salicaceae,P,wood,na,na,na,na,na,na,na,na,na,na
Salix_aurita,L.,Salicaceae,P,wood,7,na,3,8,4,3,8212,*,na,0
Salix_caprea,L.,Salicaceae,P,wood,7,na,3,6,7,7,6213,*,na,0
Salix_cinerea,L.,Salicaceae,P,wood,7,na,5,9,5,4,8212,*,na,0
Salix_daphnoides,Vill.,Salicaceae,P,wood,6,na,4,8,8,4,8111,2,3,0
Salix_myrsinifolia,Salisb.,Salicaceae,P,wood,7,4,6,7,8,6,na,3,na,0
Salix_purpurea,L.,Salicaceae,P,wood,8,5,4,na,8,na,8110,*,na,0
Salix_silesiaca,Willd.,Salicaceae,P,wood,na,na,na,na,na,na,na,*,na,0
Salix_triandra,L.,Salicaceae,P,wood,7,5,5,8,7,5,8112,*,na,0
Salix_viminalis,L.,Salicaceae,P,wood,7,6,7,8,7,na,8112,*,na,0
Scirpus_sylvaticus,L.,Cyperaceae,N,perennial,6,5,4,8,4,4,5415,*,na,0
Scrophularia_nodosa,L.,Scrophulariaceae,N,perennial,4,5,3,6,6,7,8430,*,na,0
Scrophularia_umbrosa,Dumort.,Scrophulariaceae,N,perennial,7,6,5,9,8,7,3521,*,na,0
Scutellaria_galericulata,L.,Lamiaceae,N,perennial,7,6,5,9,7,6,1514,*,na,0
Silene_latifolia,Poir.,Caryophyllaceae,N,short_perennial,8,6,na,4,na,7,3000,*,na,0
Solanum_dulcamara,L.,Solanaceae,N,perennial,7,5,na,8,na,8,na,*,na,0
Solidago_canadensis,L.,Asteraceae,N,perennial,8,6,5,na,na,6,3500,*,na,1
Solidago_gigantea,Aiton,Asteraceae,N,perennial,8,6,5,6,na,7,3500,*,na,1
Sonchus_asper,(L.) Hill,Asteraceae,T,annual,7,5,na,6,7,7,3310,*,na,0
Stellaria_aquatica,(L.) Scop.,Caryophyllaceae,N,perennial,7,5,3,8,7,8,3520,*,na,0
Symphytum_officinale,L.,Boraginaceae,N,perennial,7,6,3,8,na,8,na,*,na,0
Taraxacum_campylodes,G.E.Haglund,Asteraceae,N,na,7,na,na,5,na,7,na,*,na,0
Trifolium_hybridum,L.,Fabaceae,N,perennial,7,6,5,6,7,5,3811,*,na,0
Trifolium_pratense,L.,Fabaceae,N,perennial,7,na,3,na,na,na,5400,*,na,0
Tripleurospermum_maritimum,(L.) W.D.J.Koch,Asteraceae,T,na,9,6,3,6,7,8,2810,*,na,0
Tussilago_farfara,L.,Asteraceae,N,perennial,8,na,3,6,8,na,3000,*,na,0
Typha_latifolia,L.,Typhaceae,N,perennial,8,6,5,10,7,8,1511,*,na,0
